query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.5,0.005,0.009900990099009901,0.5933607200949346
1,software companies,50,0.54,0.027,0.05142857142857143,0.5804265769067378
1,software companies,100,0.43,0.043,0.07818181818181819,0.4819130386376258
1,software companies,500,0.278,0.139,0.18533333333333335,0.31520619364788277
1,software companies,1000,0.21,0.21,0.20999999999999996,0.2418121901130895
2,healthcare providers,10,0.9,0.009,0.01782178217821782,0.8899541168509599
2,healthcare providers,50,0.86,0.043,0.0819047619047619,0.8644624702243743
2,healthcare providers,100,0.78,0.078,0.14181818181818184,0.8004320503254964
2,healthcare providers,500,0.752,0.376,0.5013333333333333,0.7636186901359304
2,healthcare providers,1000,0.621,0.621,0.621,0.6472464827175962
3,AI startups in Berlin,10,0.9,0.009,0.01782178217821782,0.9305687780632227
3,AI startups in Berlin,50,0.74,0.037,0.07047619047619047,0.7826883187603498
3,AI startups in Berlin,100,0.6,0.06,0.1090909090909091,0.6607060905504266
3,AI startups in Berlin,500,0.376,0.188,0.25066666666666665,0.4240602031234234
3,AI startups in Berlin,1000,0.281,0.281,0.281,0.32284834040679583
4,renewable energy companies in Germany,10,0.5,0.005,0.009900990099009901,0.49276192198755814
4,renewable energy companies in Germany,50,0.84,0.042,0.08,0.7746478344618621
4,renewable energy companies in Germany,100,0.86,0.086,0.15636363636363637,0.8148799112368583
4,renewable energy companies in Germany,500,0.736,0.368,0.4906666666666666,0.7411377344306865
4,renewable energy companies in Germany,1000,0.597,0.597,0.597,0.6207070060062139
5,companies providing cloud migration services,10,0.9,0.009,0.01782178217821782,0.7799082337019199
5,companies providing cloud migration services,50,0.88,0.044,0.0838095238095238,0.841326763460326
5,companies providing cloud migration services,100,0.87,0.087,0.15818181818181817,0.8497162278562876
5,companies providing cloud migration services,500,0.678,0.339,0.45199999999999996,0.6993013669179687
5,companies providing cloud migration services,1000,0.501,0.501,0.501,0.5400859946646352
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.9,0.045,0.08571428571428572,0.9274742885797591
6,B2B SaaS platforms,100,0.86,0.086,0.15636363636363637,0.8862899004870933
6,B2B SaaS platforms,500,0.678,0.339,0.45199999999999996,0.7133541890343486
6,B2B SaaS platforms,1000,0.517,0.517,0.517,0.5614007608412092
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.9216017310213247
7,machine learning companies,50,0.92,0.046,0.08761904761904762,0.9282464582397347
7,machine learning companies,100,0.93,0.093,0.16909090909090907,0.9322787495709981
7,machine learning companies,500,0.712,0.356,0.47466666666666657,0.7481157436308156
7,machine learning companies,1000,0.501,0.501,0.501,0.5532602048415439
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,0.98,0.049,0.09333333333333334,0.9844933985977984
8,IoT solution providers,100,0.99,0.099,0.18,0.9904482953478362
8,IoT solution providers,500,0.944,0.472,0.6293333333333333,0.9510116695801292
8,IoT solution providers,1000,0.736,0.736,0.736,0.7729589953246333
9,enterprise software vendors,10,0.6,0.006,0.011881188118811881,0.4362115423097744
9,enterprise software vendors,50,0.32,0.016,0.030476190476190476,0.31447076519725387
9,enterprise software vendors,100,0.43,0.043,0.07818181818181819,0.40217464114405527
9,enterprise software vendors,500,0.304,0.152,0.2026666666666667,0.3150422216447518
9,enterprise software vendors,1000,0.279,0.279,0.279,0.28976861321823244
10,small consulting firms,10,0.7,0.007,0.013861386138613862,0.7564477297898766
10,small consulting firms,50,0.6,0.03,0.05714285714285714,0.6425226935897488
10,small consulting firms,100,0.53,0.053,0.09636363636363636,0.5743391109369047
10,small consulting firms,500,0.362,0.181,0.24133333333333334,0.39799548082982267
10,small consulting firms,1000,0.308,0.308,0.308,0.3367656922862711
11,tech companies in Munich,10,0.7,0.007,0.013861386138613862,0.800693766409882
11,tech companies in Munich,50,0.9,0.045,0.08571428571428572,0.9018323611155423
11,tech companies in Munich,100,0.88,0.088,0.16,0.8857599543598634
11,tech companies in Munich,500,0.552,0.276,0.368,0.596546304029647
11,tech companies in Munich,1000,0.397,0.397,0.3970000000000001,0.44562387821709076
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.98,0.049,0.09333333333333334,0.9863315949815462
12,manufacturing in Baden-Württemberg,100,0.92,0.092,0.1672727272727273,0.9370753223112845
12,manufacturing in Baden-Württemberg,500,0.676,0.338,0.4506666666666667,0.7187807448258339
12,manufacturing in Baden-Württemberg,1000,0.498,0.498,0.498,0.5490484150183155
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.96,0.048,0.09142857142857141,0.9673631027842468
13,e-commerce platforms,100,0.7,0.07,0.1272727272727273,0.7677486195836714
13,e-commerce platforms,500,0.66,0.33,0.44000000000000006,0.6685606454042338
13,e-commerce platforms,1000,0.64,0.64,0.64,0.6493415393084013
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,0.94,0.094,0.1709090909090909,0.9530047242227059
14,pharmaceutical companies,500,0.86,0.43,0.5733333333333333,0.8751634121845646
14,pharmaceutical companies,1000,0.721,0.721,0.721,0.7520891288258303
15,logistics companies in the US,10,0.7,0.007,0.013861386138613862,0.793584067764911
15,logistics companies in the US,50,0.52,0.026,0.04952380952380952,0.5885306771817159
15,logistics companies in the US,100,0.51,0.051,0.09272727272727271,0.5540830673781815
15,logistics companies in the US,500,0.426,0.213,0.284,0.44896310408402484
15,logistics companies in the US,1000,0.386,0.386,0.386,0.40563727282133477
16,data analytics companies,10,0.8,0.008,0.015841584158415842,0.8701249883466593
16,data analytics companies,50,0.8,0.04,0.07619047619047618,0.8136340380998891
16,data analytics companies,100,0.76,0.076,0.13818181818181818,0.777207424805641
16,data analytics companies,500,0.64,0.32,0.4266666666666667,0.6608212088916894
16,data analytics companies,1000,0.523,0.523,0.523,0.5527448639603829
17,cybersecurity firms,10,0.8,0.008,0.015841584158415842,0.8205228949141826
17,cybersecurity firms,50,0.82,0.041,0.07809523809523809,0.8237734641046026
17,cybersecurity firms,100,0.85,0.085,0.15454545454545457,0.8432709072848668
17,cybersecurity firms,500,0.738,0.369,0.49200000000000005,0.7503759650372753
17,cybersecurity firms,1000,0.608,0.608,0.608,0.6356802348406642
18,financial services companies,10,0.4,0.004,0.007920792079207921,0.5388856921828065
18,financial services companies,50,0.4,0.02,0.03809523809523809,0.45394223394739264
18,financial services companies,100,0.46,0.046,0.08363636363636365,0.47969322204695247
18,financial services companies,500,0.37,0.185,0.24666666666666667,0.38667512589316894
18,financial services companies,1000,0.333,0.333,0.333,0.34802183036754214
19,retail chains in Europe,10,1.0,0.01,0.019801980198019802,1.0
19,retail chains in Europe,50,0.78,0.039,0.07428571428571429,0.833704667758742
19,retail chains in Europe,100,0.88,0.088,0.16,0.8892281086612345
19,retail chains in Europe,500,0.514,0.257,0.3426666666666666,0.5658892326379513
19,retail chains in Europe,1000,0.371,0.371,0.37099999999999994,0.4221067211410126
20,construction companies,10,0.7,0.007,0.013861386138613862,0.7819835854675755
20,construction companies,50,0.82,0.041,0.07809523809523809,0.8215077111785827
20,construction companies,100,0.8,0.08,0.14545454545454545,0.8069116659564369
20,construction companies,500,0.736,0.368,0.4906666666666666,0.7487892371941883
20,construction companies,1000,0.588,0.588,0.588,0.6178389976701838
21,marketing agencies,10,0.8,0.008,0.015841584158415842,0.8482378089219645
21,marketing agencies,50,0.48,0.024,0.04571428571428571,0.5676910363946658
21,marketing agencies,100,0.43,0.043,0.07818181818181819,0.49692153592767485
21,marketing agencies,500,0.354,0.177,0.23600000000000002,0.3840023134403051
21,marketing agencies,1000,0.318,0.318,0.318,0.34116671362063555
22,human resources software,10,1.0,0.01,0.019801980198019802,1.0
22,human resources software,50,1.0,0.05,0.09523809523809523,1.0
22,human resources software,100,1.0,0.1,0.18181818181818182,1.0
22,human resources software,500,0.938,0.469,0.6253333333333332,0.9468772318379636
22,human resources software,1000,0.764,0.764,0.764,0.796393432521379
23,supply chain management companies,10,1.0,0.01,0.019801980198019802,1.0
23,supply chain management companies,50,1.0,0.05,0.09523809523809523,1.0
23,supply chain management companies,100,0.93,0.093,0.16909090909090907,0.9459734337588933
23,supply chain management companies,500,0.73,0.365,0.48666666666666664,0.7652917906036679
23,supply chain management companies,1000,0.522,0.522,0.522,0.5733988275397163
24,solar panel manufacturers,10,0.9,0.009,0.01782178217821782,0.9363792118010483
24,solar panel manufacturers,50,0.94,0.047,0.08952380952380952,0.949268449515416
24,solar panel manufacturers,100,0.95,0.095,0.17272727272727273,0.9531895075388748
24,solar panel manufacturers,500,0.898,0.449,0.5986666666666667,0.907726644298859
24,solar panel manufacturers,1000,0.798,0.798,0.798,0.8190895461660598
25,agricultural technology companies,10,0.7,0.007,0.013861386138613862,0.800693766409882
25,agricultural technology companies,50,0.52,0.026,0.04952380952380952,0.5785345106775565
25,agricultural technology companies,100,0.46,0.046,0.08363636363636365,0.5114220121684188
25,agricultural technology companies,500,0.388,0.194,0.25866666666666666,0.41084267821858356
25,agricultural technology companies,1000,0.365,0.365,0.36499999999999994,0.38171259627679716
26,electric vehicle manufacturers,10,1.0,0.01,0.019801980198019802,1.0
26,electric vehicle manufacturers,50,1.0,0.05,0.09523809523809523,1.0
26,electric vehicle manufacturers,100,1.0,0.1,0.18181818181818182,1.0
26,electric vehicle manufacturers,500,0.964,0.482,0.6426666666666666,0.9699296966294376
26,electric vehicle manufacturers,1000,0.804,0.804,0.804,0.8320070461869317
27,biotech companies,10,1.0,0.01,0.019801980198019802,1.0
27,biotech companies,50,0.92,0.046,0.08761904761904762,0.9303886790437423
27,biotech companies,100,0.91,0.091,0.16545454545454544,0.9194528556127173
27,biotech companies,500,0.806,0.403,0.5373333333333333,0.825708000997209
27,biotech companies,1000,0.604,0.604,0.604,0.6465938792549196
28,digital transformation consultants,10,1.0,0.01,0.019801980198019802,1.0
28,digital transformation consultants,50,0.92,0.046,0.08761904761904762,0.9376118889837526
28,digital transformation consultants,100,0.87,0.087,0.15818181818181817,0.892407616951792
28,digital transformation consultants,500,0.584,0.292,0.38933333333333336,0.633111526950317
28,digital transformation consultants,1000,0.424,0.424,0.424,0.4763372254218046
29,cloud computing providers,10,0.2,0.002,0.0039603960396039604,0.28371255449703187
29,cloud computing providers,50,0.3,0.015,0.02857142857142857,0.30902490673283206
29,cloud computing providers,100,0.22,0.022,0.04,0.2451989266118163
29,cloud computing providers,500,0.19,0.095,0.12666666666666665,0.20072597495624317
29,cloud computing providers,1000,0.221,0.221,0.221,0.22117778128290816
30,mobile app development companies,10,1.0,0.01,0.019801980198019802,1.0
30,mobile app development companies,50,1.0,0.05,0.09523809523809523,1.0
30,mobile app development companies,100,0.97,0.097,0.1763636363636364,0.9769212625407244
30,mobile app development companies,500,0.828,0.414,0.5519999999999999,0.8521187578915521
30,mobile app development companies,1000,0.638,0.638,0.638,0.6815749203864316
31,web design agencies,10,1.0,0.01,0.019801980198019802,1.0
31,web design agencies,50,0.84,0.042,0.08,0.8655619578937498
31,web design agencies,100,0.76,0.076,0.13818181818181818,0.7945169497147259
31,web design agencies,500,0.554,0.277,0.3693333333333334,0.5919179676917331
31,web design agencies,1000,0.414,0.414,0.414,0.4571990010507726
32,SEO companies,10,1.0,0.01,0.019801980198019802,1.0
32,SEO companies,50,1.0,0.05,0.09523809523809523,1.0
32,SEO companies,100,0.98,0.098,0.17818181818181816,0.984246959687006
32,SEO companies,500,0.932,0.466,0.6213333333333333,0.940649884603869
32,SEO companies,1000,0.734,0.734,0.734,0.7706550710538429
33,social media marketing agencies,10,1.0,0.01,0.019801980198019802,1.0
33,social media marketing agencies,50,0.84,0.042,0.08,0.8745688105247944
33,social media marketing agencies,100,0.78,0.078,0.14181818181818184,0.8145340279207945
33,social media marketing agencies,500,0.556,0.278,0.3706666666666667,0.5979556046929952
33,social media marketing agencies,1000,0.419,0.419,0.419,0.46331747748794344
34,venture capital firms,10,1.0,0.01,0.019801980198019802,1.0
34,venture capital firms,50,0.84,0.042,0.08,0.874191086904896
34,venture capital firms,100,0.79,0.079,0.14363636363636365,0.8237932374917043
34,venture capital firms,500,0.712,0.356,0.47466666666666657,0.7380886824068176
34,venture capital firms,1000,0.556,0.556,0.556,0.5950331291231667
35,private equity firms,10,0.9,0.009,0.01782178217821782,0.9305687780632227
35,private equity firms,50,0.9,0.045,0.08571428571428572,0.9148460542654236
35,private equity firms,100,0.82,0.082,0.14909090909090908,0.8484286406435028
35,private equity firms,500,0.718,0.359,0.4786666666666667,0.7395178608877809
35,private equity firms,1000,0.59,0.59,0.59,0.6221046759538464
36,investment banks,10,1.0,0.01,0.019801980198019802,1.0
36,investment banks,50,0.7,0.035,0.06666666666666667,0.7569805738244842
36,investment banks,100,0.64,0.064,0.11636363636363638,0.6868918707398812
36,investment banks,500,0.408,0.204,0.27199999999999996,0.4522967397126103
36,investment banks,1000,0.345,0.345,0.345,0.3801484894958437
37,insurance companies,10,1.0,0.01,0.019801980198019802,1.0
37,insurance companies,50,0.96,0.048,0.09142857142857141,0.9713792688470998
37,insurance companies,100,0.97,0.097,0.1763636363636364,0.9744972639347332
37,insurance companies,500,0.938,0.469,0.6253333333333332,0.9443200663846308
37,insurance companies,1000,0.864,0.864,0.864,0.8800999961979178
