query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.6,0.006,0.011881188118811881,0.4458567890377042
1,software companies,50,0.58,0.029,0.05523809523809523,0.5446941279986784
1,software companies,100,0.47,0.047,0.08545454545454545,0.47383288497144943
1,software companies,500,0.364,0.182,0.24266666666666664,0.37960237898811194
1,software companies,1000,0.325,0.325,0.325,0.3393940962173639
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.98,0.049,0.09333333333333334,0.9835051587382827
2,healthcare providers,100,0.94,0.094,0.1709090909090909,0.9513188181073076
2,healthcare providers,500,0.924,0.462,0.616,0.9296990147200477
2,healthcare providers,1000,0.802,0.802,0.802,0.8241943794362934
3,AI startups in Berlin,10,0.7,0.007,0.013861386138613862,0.7564477297898766
3,AI startups in Berlin,50,0.62,0.031,0.05904761904761905,0.6554916059859159
3,AI startups in Berlin,100,0.74,0.074,0.13454545454545455,0.7334390430209718
3,AI startups in Berlin,500,0.692,0.346,0.4613333333333334,0.6979466758444339
3,AI startups in Berlin,1000,0.581,0.581,0.581,0.6016942130216406
4,renewable energy companies in Germany,10,0.7,0.007,0.013861386138613862,0.5747915663739762
4,renewable energy companies in Germany,50,0.72,0.036,0.06857142857142856,0.670171038054601
4,renewable energy companies in Germany,100,0.76,0.076,0.13818181818181818,0.7199304696646678
4,renewable energy companies in Germany,500,0.808,0.404,0.5386666666666666,0.7870846526999545
4,renewable energy companies in Germany,1000,0.774,0.774,0.774,0.7677022286568211
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,1.0,0.1,0.18181818181818182,1.0
5,companies providing cloud migration services,500,0.974,0.487,0.6493333333333333,0.9782247013741824
5,companies providing cloud migration services,1000,0.827,0.827,0.827,0.8533785200601463
6,B2B SaaS platforms,10,0.9,0.009,0.01782178217821782,0.9216017310213247
6,B2B SaaS platforms,50,0.9,0.045,0.08571428571428572,0.9134572213773194
6,B2B SaaS platforms,100,0.9,0.09,0.16363636363636364,0.9092722201304922
6,B2B SaaS platforms,500,0.744,0.372,0.496,0.7723324308939319
6,B2B SaaS platforms,1000,0.5,0.5,0.5,0.5532525822252307
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.9363792118010483
7,machine learning companies,50,0.98,0.049,0.09333333333333334,0.9775879347944594
7,machine learning companies,100,0.99,0.099,0.18,0.9861946907684125
7,machine learning companies,500,0.922,0.461,0.6146666666666667,0.9323268223382724
7,machine learning companies,1000,0.718,0.718,0.718,0.7555740376074794
8,IoT solution providers,10,0.9,0.009,0.01782178217821782,0.9052116356304493
8,IoT solution providers,50,0.98,0.049,0.09333333333333334,0.9666083514034186
8,IoT solution providers,100,0.98,0.098,0.17818181818181816,0.9714717697065587
8,IoT solution providers,500,0.99,0.495,0.66,0.986223652418303
8,IoT solution providers,1000,0.883,0.883,0.883,0.8985428268012428
9,enterprise software vendors,10,1.0,0.01,0.019801980198019802,1.0
9,enterprise software vendors,50,0.92,0.046,0.08761904761904762,0.9303230392985793
