query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.1,0.001,0.0019801980198019802,0.06625422345438903
1,software companies,50,0.46,0.023,0.04380952380952381,0.37784852573906846
1,software companies,100,0.43,0.043,0.07818181818181819,0.38628162291370055
1,software companies,500,0.292,0.146,0.19466666666666668,0.29558990189676504
1,software companies,1000,0.246,0.246,0.246,0.25533482529406304
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.9,0.045,0.08571428571428572,0.9289307685273682
2,healthcare providers,100,0.88,0.088,0.16,0.9014668106722445
2,healthcare providers,500,0.848,0.424,0.5653333333333332,0.8607516976102715
2,healthcare providers,1000,0.686,0.686,0.686,0.7181441108673416
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.92,0.046,0.08761904761904762,0.9325567755250892
3,AI startups in Berlin,100,0.87,0.087,0.15818181818181817,0.8906418664772503
3,AI startups in Berlin,500,0.632,0.316,0.42133333333333334,0.6733882060813146
3,AI startups in Berlin,1000,0.506,0.506,0.506,0.5489755730708316
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.8,0.04,0.07619047619047618,0.8465711752234231
4,renewable energy companies in Germany,100,0.86,0.086,0.15636363636363637,0.8746712437761939
4,renewable energy companies in Germany,500,0.824,0.412,0.5493333333333332,0.8338895635789381
4,renewable energy companies in Germany,1000,0.692,0.692,0.692,0.7183991169311559
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.99,0.099,0.18,0.9928116259749387
5,companies providing cloud migration services,500,0.892,0.446,0.5946666666666667,0.9077914415895281
5,companies providing cloud migration services,1000,0.555,0.555,0.555,0.6160064257340133
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.94,0.047,0.08952380952380952,0.952877103453296
6,B2B SaaS platforms,100,0.94,0.094,0.1709090909090909,0.9477859391393487
6,B2B SaaS platforms,500,0.84,0.42,0.5599999999999999,0.8559965796276493
6,B2B SaaS platforms,1000,0.633,0.633,0.633,0.673899919479514
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.8611375561264454
7,machine learning companies,50,0.98,0.049,0.09333333333333334,0.9510821189928904
7,machine learning companies,100,0.95,0.095,0.17272727272727273,0.9388202628688173
7,machine learning companies,500,0.808,0.404,0.5386666666666666,0.8272308540229554
7,machine learning companies,1000,0.597,0.597,0.597,0.639818922578548
8,IoT solution providers,10,0.9,0.009,0.01782178217821782,0.8611375561264454
8,IoT solution providers,50,0.94,0.047,0.08952380952380952,0.9142232694896962
8,IoT solution providers,100,0.97,0.097,0.1763636363636364,0.9471635354123208
8,IoT solution providers,500,0.944,0.472,0.6293333333333333,0.9426887056830555
8,IoT solution providers,1000,0.767,0.767,0.767,0.7944385959858498
9,enterprise software vendors,10,0.6,0.006,0.011881188118811881,0.5079937796926363
9,enterprise software vendors,50,0.68,0.034,0.06476190476190476,0.6459567391319891
9,enterprise software vendors,100,0.74,0.074,0.13454545454545455,0.7030601882041655
9,enterprise software vendors,500,0.548,0.274,0.3653333333333334,0.5651960439153596
9,enterprise software vendors,1000,0.45,0.45,0.45,0.47457243837855784
10,small consulting firms,10,0.7,0.007,0.013861386138613862,0.611755947233009
10,small consulting firms,50,0.76,0.038,0.07238095238095238,0.7263028490955419
10,small consulting firms,100,0.73,0.073,0.13272727272727272,0.7159700534085602
10,small consulting firms,500,0.602,0.301,0.40133333333333326,0.61544923188082
10,small consulting firms,1000,0.486,0.486,0.486,0.5114761626247714
11,tech companies in Munich,10,0.9,0.009,0.01782178217821782,0.8611375561264454
11,tech companies in Munich,50,0.96,0.048,0.09142857142857141,0.9347761586571872
11,tech companies in Munich,100,0.97,0.097,0.1763636363636364,0.9519506021088208
11,tech companies in Munich,500,0.834,0.417,0.556,0.8518257953923574
11,tech companies in Munich,1000,0.643,0.643,0.643,0.6820595619196916
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.98,0.049,0.09333333333333334,0.9856215795673515
12,manufacturing in Baden-Württemberg,100,0.97,0.097,0.1763636363636364,0.9754117709146684
12,manufacturing in Baden-Württemberg,500,0.712,0.356,0.47466666666666657,0.7525829058222295
12,manufacturing in Baden-Württemberg,1000,0.533,0.533,0.533,0.5833776953643229
13,e-commerce platforms,10,0.9,0.009,0.01782178217821782,0.9305687780632227
13,e-commerce platforms,50,0.9,0.045,0.08571428571428572,0.9012275233202681
13,e-commerce platforms,100,0.9,0.09,0.16363636363636364,0.9020236905970925
13,e-commerce platforms,500,0.958,0.479,0.6386666666666667,0.9514978722058948
13,e-commerce platforms,1000,0.774,0.774,0.774,0.8003764532173475
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,0.99,0.099,0.18,0.9926250016666154
14,pharmaceutical companies,500,0.926,0.463,0.6173333333333334,0.936284308822672
14,pharmaceutical companies,1000,0.796,0.796,0.796,0.8223655860864199
15,logistics companies in the US,10,0.9,0.009,0.01782178217821782,0.9305687780632227
15,logistics companies in the US,50,0.78,0.039,0.07428571428571429,0.8115958877838939
15,logistics companies in the US,100,0.75,0.075,0.13636363636363635,0.773581782949605
15,logistics companies in the US,500,0.542,0.271,0.36133333333333334,0.577856029298131
15,logistics companies in the US,1000,0.445,0.445,0.445,0.4802231939333446
16,data analytics companies,10,0.9,0.009,0.01782178217821782,0.9305687780632227
16,data analytics companies,50,0.9,0.045,0.08571428571428572,0.9066655609013881
16,data analytics companies,100,0.87,0.087,0.15818181818181817,0.8814041868974772
16,data analytics companies,500,0.782,0.391,0.5213333333333334,0.7994805382209978
16,data analytics companies,1000,0.653,0.653,0.653,0.6827862478551345
17,cybersecurity firms,10,0.9,0.009,0.01782178217821782,0.8611375561264454
17,cybersecurity firms,50,0.92,0.046,0.08761904761904762,0.8983078357082347
17,cybersecurity firms,100,0.92,0.092,0.1672727272727273,0.9066491381538024
17,cybersecurity firms,500,0.782,0.391,0.5213333333333334,0.798214074943192
17,cybersecurity firms,1000,0.708,0.708,0.708,0.7286832593028097
18,financial services companies,10,0.9,0.009,0.01782178217821782,0.9216017310213247
18,financial services companies,50,0.78,0.039,0.07428571428571429,0.8057883509050854
18,financial services companies,100,0.76,0.076,0.13818181818181818,0.7818087656433244
18,financial services companies,500,0.6,0.3,0.4,0.6300575001130537
18,financial services companies,1000,0.513,0.513,0.513,0.5436984845023082
19,retail chains in Europe,10,1.0,0.01,0.019801980198019802,1.0
19,retail chains in Europe,50,0.98,0.049,0.09333333333333334,0.9860416298881255
19,retail chains in Europe,100,0.99,0.099,0.18,0.9914019696981903
19,retail chains in Europe,500,0.88,0.44,0.5866666666666667,0.8985333193708219
19,retail chains in Europe,1000,0.718,0.718,0.718,0.753697622290903
20,construction companies,10,1.0,0.01,0.019801980198019802,1.0
20,construction companies,50,0.86,0.043,0.0819047619047619,0.8895921353399376
20,construction companies,100,0.79,0.079,0.14363636363636365,0.8241316456380022
20,construction companies,500,0.7,0.35,0.4666666666666667,0.7254383727638862
20,construction companies,1000,0.569,0.569,0.569,0.6040451134711399
21,marketing agencies,10,0.5,0.005,0.009900990099009901,0.3827160388385181
21,marketing agencies,50,0.62,0.031,0.05904761904761905,0.5545438032574971
21,marketing agencies,100,0.55,0.055,0.09999999999999999,0.5251158654444142
21,marketing agencies,500,0.462,0.231,0.308,0.4661189728434117
21,marketing agencies,1000,0.416,0.416,0.416,0.425506191084836
22,human resources software,10,1.0,0.01,0.019801980198019802,1.0
22,human resources software,50,1.0,0.05,0.09523809523809523,1.0
22,human resources software,100,1.0,0.1,0.18181818181818182,1.0
22,human resources software,500,0.948,0.474,0.632,0.9569998784291641
22,human resources software,1000,0.778,0.778,0.778,0.8101179001362101
23,supply chain management companies,10,1.0,0.01,0.019801980198019802,1.0
23,supply chain management companies,50,0.98,0.049,0.09333333333333334,0.9846298672989356
23,supply chain management companies,100,0.94,0.094,0.1709090909090909,0.9527670644320609
23,supply chain management companies,500,0.854,0.427,0.5693333333333334,0.8723677646599021
23,supply chain management companies,1000,0.673,0.673,0.673,0.7107524664093937
24,solar panel manufacturers,10,1.0,0.01,0.019801980198019802,1.0
24,solar panel manufacturers,50,1.0,0.05,0.09523809523809523,1.0
24,solar panel manufacturers,100,1.0,0.1,0.18181818181818182,1.0
24,solar panel manufacturers,500,0.96,0.48,0.64,0.9663998298166219
24,solar panel manufacturers,1000,0.83,0.83,0.83,0.8540292503107253
25,agricultural technology companies,10,0.7,0.007,0.013861386138613862,0.7542686714597936
25,agricultural technology companies,50,0.62,0.031,0.05904761904761905,0.6556262223323086
25,agricultural technology companies,100,0.58,0.058,0.10545454545454544,0.6122226819214434
25,agricultural technology companies,500,0.54,0.27,0.36,0.5554531164925005
25,agricultural technology companies,1000,0.488,0.488,0.488,0.5048144153643002
26,electric vehicle manufacturers,10,1.0,0.01,0.019801980198019802,1.0
26,electric vehicle manufacturers,50,1.0,0.05,0.09523809523809523,1.0
26,electric vehicle manufacturers,100,0.99,0.099,0.18,0.9925085132766419
26,electric vehicle manufacturers,500,0.982,0.491,0.6546666666666667,0.9842544153740411
26,electric vehicle manufacturers,1000,0.881,0.881,0.881,0.8988928962724114
27,biotech companies,10,1.0,0.01,0.019801980198019802,1.0
27,biotech companies,50,0.98,0.049,0.09333333333333334,0.98206055137689
27,biotech companies,100,0.96,0.096,0.17454545454545453,0.9658172081415775
27,biotech companies,500,0.884,0.442,0.5893333333333334,0.8971310535174575
27,biotech companies,1000,0.729,0.729,0.729,0.7595938249399681
28,digital transformation consultants,10,1.0,0.01,0.019801980198019802,1.0
