query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.9,0.009,0.01782178217821782,0.9305687780632227
1,software companies,50,0.72,0.036,0.06857142857142856,0.765288130015086
1,software companies,100,0.67,0.067,0.12181818181818183,0.7095587976922105
1,software companies,500,0.462,0.231,0.308,0.503985075723041
1,software companies,1000,0.368,0.368,0.368,0.40590902264357154
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.96,0.048,0.09142857142857141,0.9705482697233546
2,healthcare providers,100,0.92,0.092,0.1672727272727273,0.9361549319955685
2,healthcare providers,500,0.834,0.417,0.556,0.8493659162128817
2,healthcare providers,1000,0.694,0.694,0.694,0.7240740095306356
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.86,0.043,0.0819047619047619,0.8853841158135395
3,AI startups in Berlin,100,0.88,0.088,0.16,0.8898500979152072
3,AI startups in Berlin,500,0.784,0.392,0.5226666666666667,0.8022013044250258
3,AI startups in Berlin,1000,0.644,0.644,0.644,0.6763594302471221
4,renewable energy companies in Germany,10,0.9,0.009,0.01782178217821782,0.9363792118010483
4,renewable energy companies in Germany,50,0.9,0.045,0.08571428571428572,0.8996904324707985
4,renewable energy companies in Germany,100,0.86,0.086,0.15636363636363637,0.8681922527390257
4,renewable energy companies in Germany,500,0.846,0.423,0.564,0.852445415000212
4,renewable energy companies in Germany,1000,0.786,0.786,0.786,0.7995242508769442
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,1.0,0.1,0.18181818181818182,1.0
5,companies providing cloud migration services,500,0.944,0.472,0.6293333333333333,0.9528962045178383
5,companies providing cloud migration services,1000,0.779,0.779,0.779,0.8103939160334735
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.96,0.048,0.09142857142857141,0.9718126723996426
6,B2B SaaS platforms,100,0.95,0.095,0.17272727272727273,0.9601927283388653
6,B2B SaaS platforms,500,0.79,0.395,0.5266666666666667,0.8153370375419056
6,B2B SaaS platforms,1000,0.618,0.618,0.618,0.6586822077264767
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,0.96,0.048,0.09142857142857141,0.9645048380227612
7,machine learning companies,100,0.93,0.093,0.16909090909090907,0.9401750656569935
7,machine learning companies,500,0.774,0.387,0.516,0.8015256421646351
7,machine learning companies,1000,0.562,0.562,0.562,0.6098179018406739
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,0.99,0.099,0.18,0.9925486643369581
8,IoT solution providers,500,0.964,0.482,0.6426666666666666,0.9686092536520767
8,IoT solution providers,1000,0.802,0.802,0.802,0.8303176362471957
9,enterprise software vendors,10,0.6,0.006,0.011881188118811881,0.6785038377365556
9,enterprise software vendors,50,0.72,0.036,0.06857142857142856,0.7310983167269988
9,enterprise software vendors,100,0.74,0.074,0.13454545454545455,0.742659423039347
9,enterprise software vendors,500,0.546,0.273,0.36400000000000005,0.5751476654479649
9,enterprise software vendors,1000,0.449,0.449,0.449,0.48047996301982127
10,small consulting firms,10,0.8,0.008,0.015841584158415842,0.804810999209339
10,small consulting firms,50,0.82,0.041,0.07809523809523809,0.8310702678246606
10,small consulting firms,100,0.79,0.079,0.14363636363636365,0.8039840812814851
10,small consulting firms,500,0.594,0.297,0.39599999999999996,0.6267284758270841
10,small consulting firms,1000,0.485,0.485,0.485,0.5206928955779648
11,tech companies in Munich,10,0.9,0.009,0.01782178217821782,0.9052116356304493
11,tech companies in Munich,50,0.96,0.048,0.09142857142857141,0.9508075085885417
11,tech companies in Munich,100,0.95,0.095,0.17272727272727273,0.9470375304511877
11,tech companies in Munich,500,0.906,0.453,0.604,0.9139090359551922
11,tech companies in Munich,1000,0.719,0.719,0.7190000000000001,0.7529593296243497
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
