query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,1.0,0.01,0.019801980198019802,1.0
1,software companies,50,0.86,0.043,0.0819047619047619,0.8820412516759111
1,software companies,100,0.81,0.081,0.14727272727272728,0.833212771463537
1,software companies,500,0.584,0.292,0.38933333333333336,0.6237788299370193
1,software companies,1000,0.458,0.458,0.458,0.4999881184200888
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.94,0.047,0.08952380952380952,0.9462682716166635
2,healthcare providers,100,0.93,0.093,0.16909090909090907,0.9368937080742902
2,healthcare providers,500,0.852,0.426,0.568,0.8663298834742813
2,healthcare providers,1000,0.746,0.746,0.746,0.7713093710510722
3,AI startups in Berlin,10,0.8,0.008,0.015841584158415842,0.8572048559638628
3,AI startups in Berlin,50,0.88,0.044,0.0838095238095238,0.887681102550367
3,AI startups in Berlin,100,0.84,0.084,0.15272727272727274,0.8529315754987519
3,AI startups in Berlin,500,0.58,0.29,0.3866666666666667,0.618807561387933
3,AI startups in Berlin,1000,0.481,0.481,0.481,0.5179683727340979
4,renewable energy companies in Germany,10,0.9,0.009,0.01782178217821782,0.9216017310213247
4,renewable energy companies in Germany,50,0.86,0.043,0.0819047619047619,0.8779244452050856
4,renewable energy companies in Germany,100,0.9,0.09,0.16363636363636364,0.9026720049251334
4,renewable energy companies in Germany,500,0.854,0.427,0.5693333333333334,0.861455196496596
4,renewable energy companies in Germany,1000,0.759,0.759,0.7590000000000001,0.7782002880934005
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.98,0.049,0.09333333333333334,0.9806167482472479
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9803198337245335
5,companies providing cloud migration services,500,0.794,0.397,0.5293333333333334,0.8242285037108579
5,companies providing cloud migration services,1000,0.548,0.548,0.548,0.6023953645480372
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.98,0.049,0.09333333333333334,0.9826137020047635
6,B2B SaaS platforms,100,0.97,0.097,0.1763636363636364,0.973504324319734
6,B2B SaaS platforms,500,0.924,0.462,0.616,0.9328518983666909
6,B2B SaaS platforms,1000,0.738,0.738,0.738,0.7719623721442995
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,0.98,0.049,0.09333333333333334,0.9856215795673515
7,machine learning companies,100,0.97,0.097,0.1763636363636364,0.9760339671697826
7,machine learning companies,500,0.904,0.452,0.6026666666666667,0.9172657758414315
7,machine learning companies,1000,0.706,0.706,0.706,0.7447330505168926
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,0.99,0.099,0.18,0.9918814514394172
8,IoT solution providers,500,0.95,0.475,0.6333333333333334,0.9578243641093377
