query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.4,0.004,0.007920792079207921,0.33798414482679834
1,software companies,50,0.3,0.015,0.02857142857142857,0.2992831427047977
1,software companies,100,0.27,0.027,0.04909090909090909,0.27635640877902046
1,software companies,500,0.24,0.12,0.16,0.24651841769220817
1,software companies,1000,0.206,0.206,0.206,0.21484590270618
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.98,0.049,0.09333333333333334,0.9863315949815462
2,healthcare providers,100,0.93,0.093,0.16909090909090907,0.9466885861829533
2,healthcare providers,500,0.874,0.437,0.5826666666666667,0.8884011673205902
2,healthcare providers,1000,0.719,0.719,0.7190000000000001,0.7511527946547292
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.78,0.039,0.07428571428571429,0.8275639519775977
3,AI startups in Berlin,100,0.78,0.078,0.14181818181818184,0.8102869664037883
3,AI startups in Berlin,500,0.532,0.266,0.35466666666666674,0.5713704908295666
3,AI startups in Berlin,1000,0.438,0.438,0.43799999999999994,0.4749040098757352
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.9,0.045,0.08571428571428572,0.9241065084572624
4,renewable energy companies in Germany,100,0.84,0.084,0.15272727272727274,0.8703024386472791
4,renewable energy companies in Germany,500,0.814,0.407,0.5426666666666667,0.8280303890137797
4,renewable energy companies in Germany,1000,0.688,0.688,0.688,0.7159197505443526
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.99,0.099,0.18,0.9919147777518809
5,companies providing cloud migration services,500,0.818,0.409,0.5453333333333333,0.8445775799488624
5,companies providing cloud migration services,1000,0.602,0.602,0.602,0.6518956100247966
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.9,0.045,0.08571428571428572,0.9243233104142518
6,B2B SaaS platforms,100,0.94,0.094,0.1709090909090909,0.9451971272912756
6,B2B SaaS platforms,500,0.752,0.376,0.5013333333333333,0.7848137397020211
6,B2B SaaS platforms,1000,0.545,0.545,0.545,0.5959695146701385
7,machine learning companies,10,0.9,0.009,0.01782178217821782,0.914856882358379
7,machine learning companies,50,0.98,0.049,0.09333333333333334,0.9700061385844562
7,machine learning companies,100,0.98,0.098,0.17818181818181816,0.9743516055205835
7,machine learning companies,500,0.836,0.418,0.5573333333333333,0.8561447455788296
7,machine learning companies,1000,0.587,0.587,0.587,0.6360886327036878
8,IoT solution providers,10,0.9,0.009,0.01782178217821782,0.933745776545611
8,IoT solution providers,50,0.96,0.048,0.09142857142857141,0.9611536378334592
8,IoT solution providers,100,0.98,0.098,0.17818181818181816,0.9760715472977134
