query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.1,0.001,0.0019801980198019802,0.07336392209936005
1,software companies,50,0.06,0.003,0.005714285714285713,0.05603275394572945
1,software companies,100,0.04,0.004,0.007272727272727274,0.0417511044803214
1,software companies,500,0.114,0.057,0.076,0.10855979500711412
1,software companies,1000,0.064,0.064,0.064,0.068195471896558
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.98,0.049,0.09333333333333334,0.9855282772907894
2,healthcare providers,100,0.95,0.095,0.17272727272727273,0.96071066641953
2,healthcare providers,500,0.642,0.321,0.428,0.6958206871373271
2,healthcare providers,1000,0.513,0.513,0.513,0.5621405854443382
3,AI startups in Berlin,10,0.9,0.009,0.01782178217821782,0.933745776545611
3,AI startups in Berlin,50,0.98,0.049,0.09333333333333334,0.9766602392356607
3,AI startups in Berlin,100,0.91,0.091,0.16545454545454544,0.924581499109671
3,AI startups in Berlin,500,0.756,0.378,0.5040000000000001,0.7828779087812431
3,AI startups in Berlin,1000,0.53,0.53,0.53,0.579276093717596
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.88,0.044,0.0838095238095238,0.9038529535115813
4,renewable energy companies in Germany,100,0.87,0.087,0.15818181818181817,0.8867450729661835
4,renewable energy companies in Germany,500,0.792,0.396,0.5279999999999999,0.8098973093923337
4,renewable energy companies in Germany,1000,0.643,0.643,0.643,0.675605309438248
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.96,0.048,0.09142857142857141,0.9706844914300895
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9819423307322512
5,companies providing cloud migration services,500,0.968,0.484,0.6453333333333333,0.970192871735889
5,companies providing cloud migration services,1000,0.893,0.893,0.893,0.9062530749058247
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.96,0.048,0.09142857142857141,0.9697541802761996
6,B2B SaaS platforms,100,0.93,0.093,0.16909090909090907,0.9439410367613847
6,B2B SaaS platforms,500,0.756,0.378,0.5040000000000001,0.7865594452948428
6,B2B SaaS platforms,1000,0.612,0.612,0.612,0.6501475921596291
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,0.86,0.043,0.0819047619047619,0.8891735484476183
