query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.0,0.0,0.0,0.0
1,software companies,50,0.04,0.002,0.0038095238095238095,0.03279504446704202
1,software companies,100,0.03,0.003,0.005454545454545454,0.028319530753837426
1,software companies,500,0.016,0.008,0.010666666666666666,0.017565073667461985
1,software companies,1000,0.021,0.021,0.021,0.021086734977040125
2,healthcare providers,10,0.3,0.003,0.005940594059405941,0.23690530871965634
2,healthcare providers,50,0.64,0.032,0.06095238095238095,0.5484394184074614
2,healthcare providers,100,0.62,0.062,0.11272727272727275,0.5699883938258111
2,healthcare providers,500,0.62,0.31,0.4133333333333334,0.6065404645131282
2,healthcare providers,1000,0.545,0.545,0.545,0.5487666378542373
3,AI startups in Berlin,10,0.0,0.0,0.0,0.0
3,AI startups in Berlin,50,0.1,0.005,0.009523809523809523,0.08387441530919179
3,AI startups in Berlin,100,0.1,0.01,0.01818181818181818,0.08930493410947381
3,AI startups in Berlin,500,0.126,0.063,0.084,0.11925751147371724
3,AI startups in Berlin,1000,0.158,0.158,0.158,0.14945954150071541
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.8,0.04,0.07619047619047618,0.8407015130176277
4,renewable energy companies in Germany,100,0.83,0.083,0.15090909090909094,0.8481746850738913
4,renewable energy companies in Germany,500,0.762,0.381,0.508,0.7775861533906279
4,renewable energy companies in Germany,1000,0.703,0.703,0.703,0.7215217323839008
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.98,0.049,0.09333333333333334,0.9856215795673515
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9838045637308449
5,companies providing cloud migration services,500,0.896,0.448,0.5973333333333334,0.91030432473518
5,companies providing cloud migration services,1000,0.678,0.678,0.678,0.7199941513200105
6,B2B SaaS platforms,10,0.7,0.007,0.013861386138613862,0.7753366239771086
6,B2B SaaS platforms,50,0.7,0.035,0.06666666666666667,0.74188708766902
6,B2B SaaS platforms,100,0.59,0.059,0.10727272727272726,0.6415655940816117
6,B2B SaaS platforms,500,0.31,0.155,0.2066666666666667,0.3641711710975295
6,B2B SaaS platforms,1000,0.214,0.214,0.214,0.2592088191626518
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,1.0,0.05,0.09523809523809523,1.0
7,machine learning companies,100,1.0,0.1,0.18181818181818182,1.0
7,machine learning companies,500,0.888,0.444,0.592,0.9066687139949597
7,machine learning companies,1000,0.69,0.69,0.69,0.7310735412596396
8,IoT solution providers,10,0.8,0.008,0.015841584158415842,0.804810999209339
8,IoT solution providers,50,0.82,0.041,0.07809523809523809,0.8309631993605647
8,IoT solution providers,100,0.83,0.083,0.15090909090909094,0.8354655179508298
8,IoT solution providers,500,0.662,0.331,0.4413333333333333,0.6862915870470798
8,IoT solution providers,1000,0.526,0.526,0.526,0.5603988875960706
9,enterprise software vendors,10,0.1,0.001,0.0019801980198019802,0.06625422345438903
9,enterprise software vendors,50,0.28,0.014,0.02666666666666667,0.2336703105056131
9,enterprise software vendors,100,0.34,0.034,0.06181818181818182,0.29740009091074354
9,enterprise software vendors,500,0.438,0.219,0.292,0.4121704461355903
9,enterprise software vendors,1000,0.43,0.43,0.42999999999999994,0.4164738120100091
10,small consulting firms,10,0.9,0.009,0.01782178217821782,0.7799082337019199
10,small consulting firms,50,0.9,0.045,0.08571428571428572,0.8643503106679439
10,small consulting firms,100,0.85,0.085,0.15454545454545457,0.8390440943005958
10,small consulting firms,500,0.63,0.315,0.42,0.6583781296167831
10,small consulting firms,1000,0.507,0.507,0.507,0.5425458630370606
11,tech companies in Munich,10,0.8,0.008,0.015841584158415842,0.7015099647232446
11,tech companies in Munich,50,0.66,0.033,0.06285714285714285,0.6504965002550621
11,tech companies in Munich,100,0.67,0.067,0.12181818181818183,0.6626672758207344
11,tech companies in Munich,500,0.534,0.267,0.356,0.5517474791290404
11,tech companies in Munich,1000,0.414,0.414,0.414,0.442726921175165
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.98,0.049,0.09333333333333334,0.9860416298881255
12,manufacturing in Baden-Württemberg,100,0.97,0.097,0.1763636363636364,0.9761539378894742
12,manufacturing in Baden-Württemberg,500,0.78,0.39,0.5200000000000001,0.8098059822079897
12,manufacturing in Baden-Württemberg,1000,0.609,0.609,0.609,0.6519812121000943
13,e-commerce platforms,10,0.8,0.008,0.015841584158415842,0.7759944384848244
13,e-commerce platforms,50,0.78,0.039,0.07428571428571429,0.7828404891722553
