query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.8,0.008,0.015841584158415842,0.8603818544462509
1,software companies,50,0.54,0.027,0.05142857142857143,0.6149553938714672
1,software companies,100,0.55,0.055,0.09999999999999999,0.5933470548978907
1,software companies,300,0.4866666666666667,0.146,0.22461538461538458,0.5167699917215696
1,software companies,500,0.498,0.249,0.332,0.516424067627645
1,software companies,1000,0.416,0.416,0.416,0.43918335601556613
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,1.0,0.05,0.09523809523809523,1.0
2,healthcare providers,100,0.99,0.099,0.18,0.9925287622465939
2,healthcare providers,300,0.9733333333333334,0.292,0.44923076923076916,0.9778057891219433
2,healthcare providers,500,0.924,0.462,0.616,0.9364666537411839
2,healthcare providers,1000,0.847,0.847,0.847,0.866132990146785
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.94,0.047,0.08952380952380952,0.9501466326314643
3,AI startups in Berlin,100,0.93,0.093,0.16909090909090907,0.9381171564826976
3,AI startups in Berlin,300,0.86,0.258,0.39692307692307693,0.8755540158025396
3,AI startups in Berlin,500,0.752,0.376,0.5013333333333333,0.7828241488225846
3,AI startups in Berlin,1000,0.526,0.526,0.526,0.5776474422400568
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.9,0.045,0.08571428571428572,0.9252219612545723
4,renewable energy companies in Germany,100,0.88,0.088,0.16,0.9007934807459752
4,renewable energy companies in Germany,300,0.9233333333333333,0.277,0.4261538461538461,0.92344031365147
4,renewable energy companies in Germany,500,0.896,0.448,0.5973333333333334,0.9014598162200342
4,renewable energy companies in Germany,1000,0.728,0.728,0.728,0.7557895886947456
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,0.98,0.049,0.09333333333333334,0.9854314065074474
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9827273101644296
5,companies providing cloud migration services,300,0.97,0.291,0.44769230769230767,0.9723427916558854
5,companies providing cloud migration services,500,0.958,0.479,0.6386666666666667,0.9617463497910701
5,companies providing cloud migration services,1000,0.802,0.802,0.802,0.8310735101199176
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.96,0.048,0.09142857142857141,0.9636452098074642
6,B2B SaaS platforms,100,0.95,0.095,0.17272727272727273,0.955376991634549
6,B2B SaaS platforms,300,0.9533333333333334,0.286,0.43999999999999995,0.955844221161343
6,B2B SaaS platforms,500,0.934,0.467,0.6226666666666667,0.9392257783803686
6,B2B SaaS platforms,1000,0.81,0.81,0.81,0.8323894235187977
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,1.0,0.05,0.09523809523809523,1.0
7,machine learning companies,100,0.96,0.096,0.17454545454545453,0.9701377898108721
7,machine learning companies,300,0.9133333333333333,0.274,0.42153846153846153,0.9267307148490848
7,machine learning companies,500,0.856,0.428,0.5706666666666667,0.8753585262091624
7,machine learning companies,1000,0.701,0.701,0.701,0.7359568224762632
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,1.0,0.1,0.18181818181818182,1.0
8,IoT solution providers,300,0.9966666666666667,0.299,0.45999999999999996,0.9974165663880411
8,IoT solution providers,500,0.992,0.496,0.6613333333333333,0.9932524175007114
8,IoT solution providers,1000,0.937,0.937,0.937,0.9470250749038626
9,enterprise software vendors,10,0.8,0.008,0.015841584158415842,0.841492960259019
9,enterprise software vendors,50,0.94,0.047,0.08952380952380952,0.9294925301132132
9,enterprise software vendors,100,0.95,0.095,0.17272727272727273,0.9415450094792578
9,enterprise software vendors,300,0.85,0.255,0.3923076923076923,0.8642723849430325
9,enterprise software vendors,500,0.722,0.361,0.48133333333333334,0.7545408195497548
9,enterprise software vendors,1000,0.567,0.567,0.567,0.6088133656091641
10,small consulting firms,10,0.7,0.007,0.013861386138613862,0.6067216003536936
10,small consulting firms,50,0.86,0.043,0.0819047619047619,0.800276410894572
10,small consulting firms,100,0.81,0.081,0.14727272727272728,0.7860868196594256
10,small consulting firms,300,0.74,0.222,0.34153846153846157,0.7382400794103531
10,small consulting firms,500,0.688,0.344,0.4586666666666666,0.6963649297543442
10,small consulting firms,1000,0.54,0.54,0.54,0.5674212652656718
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,1.0,0.05,0.09523809523809523,1.0
11,tech companies in Munich,100,0.99,0.099,0.18,0.991739223015462
11,tech companies in Munich,300,0.9766666666666667,0.293,0.45076923076923076,0.980130051105911
11,tech companies in Munich,500,0.97,0.485,0.6466666666666666,0.9736941160763964
11,tech companies in Munich,1000,0.763,0.763,0.763,0.7983966829202971
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,1.0,0.05,0.09523809523809523,1.0
12,manufacturing in Baden-Württemberg,100,1.0,0.1,0.18181818181818182,1.0
12,manufacturing in Baden-Württemberg,300,0.9666666666666667,0.29,0.4461538461538462,0.9721556198157183
12,manufacturing in Baden-Württemberg,500,0.952,0.476,0.6346666666666666,0.9585314201246233
12,manufacturing in Baden-Württemberg,1000,0.813,0.813,0.813,0.8387644785414055
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,0.86,0.043,0.0819047619047619,0.890476195984608
13,e-commerce platforms,100,0.87,0.087,0.15818181818181817,0.8858319628875704
13,e-commerce platforms,300,0.8833333333333333,0.265,0.4076923076923077,0.8843849865929062
13,e-commerce platforms,500,0.93,0.465,0.6200000000000001,0.9223645660306485
13,e-commerce platforms,1000,0.808,0.808,0.808,0.8229004605639455
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,0.98,0.049,0.09333333333333334,0.9856215795673515
14,pharmaceutical companies,100,0.99,0.099,0.18,0.9911432285015209
14,pharmaceutical companies,300,0.9733333333333334,0.292,0.44923076923076916,0.9760646362546879
14,pharmaceutical companies,500,0.976,0.488,0.6506666666666666,0.9773583661820626
14,pharmaceutical companies,1000,0.932,0.932,0.932,0.9402811417921793
15,logistics companies in the US,10,1.0,0.01,0.019801980198019802,1.0
