query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.8,0.008,0.015841584158415842,0.8630152897016883
1,software companies,50,0.4,0.02,0.03809523809523809,0.49927859336802155
1,software companies,100,0.42,0.042,0.07636363636363637,0.47719670100157846
1,software companies,500,0.418,0.209,0.2786666666666667,0.4364894058879226
1,software companies,1000,0.346,0.346,0.346,0.3678357317454976
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,0.96,0.048,0.09142857142857141,0.9711290643838053
2,healthcare providers,100,0.94,0.094,0.1709090909090909,0.9525102699558845
2,healthcare providers,500,0.876,0.438,0.584,0.8913529545838024
2,healthcare providers,1000,0.674,0.674,0.674,0.7131122130861302
3,AI startups in Berlin,10,1.0,0.01,0.019801980198019802,1.0
3,AI startups in Berlin,50,0.92,0.046,0.08761904761904762,0.9333663643354255
3,AI startups in Berlin,100,0.93,0.093,0.16909090909090907,0.9365714088653592
3,AI startups in Berlin,500,0.734,0.367,0.48933333333333334,0.7644824727914171
3,AI startups in Berlin,1000,0.59,0.59,0.59,0.6303200328268089
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.94,0.047,0.08952380952380952,0.956180637632556
4,renewable energy companies in Germany,100,0.88,0.088,0.16,0.9047403675946993
4,renewable energy companies in Germany,500,0.854,0.427,0.5693333333333334,0.8655336953276305
4,renewable energy companies in Germany,1000,0.737,0.737,0.737,0.7625175121933676
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.98,0.098,0.17818181818181816,0.9846588983883278
5,companies providing cloud migration services,500,0.956,0.478,0.6373333333333333,0.9620721259016336
5,companies providing cloud migration services,1000,0.776,0.776,0.776,0.8082598782761555
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,1.0,0.05,0.09523809523809523,1.0
6,B2B SaaS platforms,100,0.97,0.097,0.1763636363636364,0.976607847651184
6,B2B SaaS platforms,500,0.894,0.447,0.5960000000000001,0.9073326418305125
