query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.1,0.001,0.0019801980198019802,0.22009176629808017
1,software companies,50,0.02,0.001,0.0019047619047619048,0.07753300701100829
1,software companies,100,0.11,0.011,0.02,0.12484242403228557
1,software companies,300,0.21333333333333335,0.064,0.09846153846153848,0.20232936810840954
1,software companies,500,0.264,0.132,0.17600000000000002,0.24748855613363496
1,software companies,1000,0.293,0.293,0.293,0.2792176955361593
2,healthcare providers,10,1.0,0.01,0.019801980198019802,1.0
2,healthcare providers,50,1.0,0.05,0.09523809523809523,1.0
2,healthcare providers,100,0.99,0.099,0.18,0.9927473355762331
2,healthcare providers,300,0.9866666666666667,0.296,0.4553846153846154,0.9886981576851781
2,healthcare providers,500,0.938,0.469,0.6253333333333332,0.9486062795561129
2,healthcare providers,1000,0.799,0.799,0.799,0.8263957483258679
3,AI startups in Berlin,10,0.9,0.009,0.01782178217821782,0.9266360779006401
3,AI startups in Berlin,50,0.84,0.042,0.08,0.8715780368749771
3,AI startups in Berlin,100,0.64,0.064,0.11636363636363638,0.7093724639233915
3,AI startups in Berlin,300,0.48333333333333334,0.145,0.2230769230769231,0.5414051531171095
3,AI startups in Berlin,500,0.436,0.218,0.29066666666666663,0.4828227739238332
3,AI startups in Berlin,1000,0.443,0.443,0.443,0.4683555442885596
4,renewable energy companies in Germany,10,1.0,0.01,0.019801980198019802,1.0
4,renewable energy companies in Germany,50,0.94,0.047,0.08952380952380952,0.9522790704278874
4,renewable energy companies in Germany,100,0.9,0.09,0.16363636363636364,0.9179900321622301
4,renewable energy companies in Germany,300,0.8466666666666667,0.254,0.3907692307692308,0.8624854617218629
4,renewable energy companies in Germany,500,0.826,0.413,0.5506666666666666,0.8403709693588263
4,renewable energy companies in Germany,1000,0.718,0.718,0.718,0.7436749159660518
5,companies providing cloud migration services,10,1.0,0.01,0.019801980198019802,1.0
5,companies providing cloud migration services,50,1.0,0.05,0.09523809523809523,1.0
5,companies providing cloud migration services,100,0.99,0.099,0.18,0.9925682297440553
5,companies providing cloud migration services,300,0.98,0.294,0.4523076923076923,0.9827309219260925
5,companies providing cloud migration services,500,0.966,0.483,0.644,0.9704209330336794
5,companies providing cloud migration services,1000,0.865,0.865,0.865,0.8849806974787676
6,B2B SaaS platforms,10,0.9,0.009,0.01782178217821782,0.9363792118010483
6,B2B SaaS platforms,50,0.94,0.047,0.08952380952380952,0.9462432666873482
6,B2B SaaS platforms,100,0.9,0.09,0.16363636363636364,0.9147085546736882
6,B2B SaaS platforms,300,0.8166666666666667,0.245,0.37692307692307697,0.8408382064654761
6,B2B SaaS platforms,500,0.702,0.351,0.46799999999999997,0.7385807707775778
6,B2B SaaS platforms,1000,0.598,0.598,0.598,0.6347104758261887
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,1.0,0.05,0.09523809523809523,1.0
7,machine learning companies,100,1.0,0.1,0.18181818181818182,1.0
7,machine learning companies,300,0.9733333333333334,0.292,0.44923076923076916,0.9784593870065151
7,machine learning companies,500,0.926,0.463,0.6173333333333334,0.937927360697608
7,machine learning companies,1000,0.745,0.745,0.745,0.7802418086296935
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,1.0,0.1,0.18181818181818182,1.0
8,IoT solution providers,300,1.0,0.3,0.4615384615384615,1.0
8,IoT solution providers,500,1.0,0.5,0.6666666666666666,1.0
8,IoT solution providers,1000,0.951,0.951,0.951,0.9594520797513554
9,enterprise software vendors,10,1.0,0.01,0.019801980198019802,1.0
9,enterprise software vendors,50,0.96,0.048,0.09142857142857141,0.9674397517552193
9,enterprise software vendors,100,0.96,0.096,0.17454545454545453,0.9636031215457254
9,enterprise software vendors,300,0.7533333333333333,0.226,0.34769230769230774,0.7904851473558208
9,enterprise software vendors,500,0.672,0.336,0.44800000000000006,0.7112960003628553
9,enterprise software vendors,1000,0.577,0.577,0.577,0.6134651212687817
10,small consulting firms,10,1.0,0.01,0.019801980198019802,1.0
10,small consulting firms,50,0.94,0.047,0.08952380952380952,0.9560019349062133
10,small consulting firms,100,0.94,0.094,0.1709090909090909,0.9496624534413856
10,small consulting firms,300,0.8966666666666666,0.269,0.41384615384615386,0.9079431837523081
10,small consulting firms,500,0.802,0.401,0.5346666666666667,0.8267215656889882
10,small consulting firms,1000,0.652,0.652,0.652,0.6883993713722217
11,tech companies in Munich,10,1.0,0.01,0.019801980198019802,1.0
11,tech companies in Munich,50,0.98,0.049,0.09333333333333334,0.9861175420603098
11,tech companies in Munich,100,0.97,0.097,0.1763636363636364,0.9765947341290634
11,tech companies in Munich,300,0.98,0.294,0.4523076923076923,0.9811856645398511
11,tech companies in Munich,500,0.906,0.453,0.604,0.9211636372635899
11,tech companies in Munich,1000,0.668,0.668,0.668,0.7115308767712989
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,1.0,0.05,0.09523809523809523,1.0
12,manufacturing in Baden-Württemberg,100,0.99,0.099,0.18,0.9920987079403273
12,manufacturing in Baden-Württemberg,300,0.96,0.288,0.443076923076923,0.9666468461842614
12,manufacturing in Baden-Württemberg,500,0.906,0.453,0.604,0.9199607205133035
12,manufacturing in Baden-Württemberg,1000,0.745,0.745,0.745,0.7775696533829891
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,1.0,0.05,0.09523809523809523,1.0
13,e-commerce platforms,100,1.0,0.1,0.18181818181818182,1.0
13,e-commerce platforms,300,1.0,0.3,0.4615384615384615,1.0
13,e-commerce platforms,500,0.994,0.497,0.6626666666666666,0.9950871822589453
13,e-commerce platforms,1000,0.787,0.787,0.787,0.8196203292357057
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,1.0,0.05,0.09523809523809523,1.0
14,pharmaceutical companies,100,1.0,0.1,0.18181818181818182,1.0
14,pharmaceutical companies,300,0.9966666666666667,0.299,0.45999999999999996,0.9971065721464526
14,pharmaceutical companies,500,0.988,0.494,0.6586666666666667,0.9900389474858096
14,pharmaceutical companies,1000,0.895,0.895,0.895,0.9105515535179718
15,logistics companies in the US,10,0.9,0.009,0.01782178217821782,0.933745776545611
15,logistics companies in the US,50,0.86,0.043,0.0819047619047619,0.8828790977474811
15,logistics companies in the US,100,0.79,0.079,0.14363636363636365,0.8205028737161969
15,logistics companies in the US,300,0.7333333333333333,0.22,0.3384615384615385,0.7574290158051671
