query_id,query,k,precision,recall,f1,ndcg
1,software companies,10,0.6,0.006,0.011881188118811881,0.5372903784169164
1,software companies,50,0.56,0.028,0.05333333333333334,0.545421302706572
1,software companies,100,0.47,0.047,0.08545454545454545,0.4815442503742348
1,software companies,500,0.316,0.158,0.21066666666666667,0.33978911429453995
1,software companies,1000,0.248,0.248,0.248,0.27198470913906675
2,healthcare providers,10,0.8,0.008,0.015841584158415842,0.8415908474314976
2,healthcare providers,50,0.82,0.041,0.07809523809523809,0.8282605841284433
2,healthcare providers,100,0.83,0.083,0.15090909090909094,0.8326845937087307
2,healthcare providers,500,0.82,0.41,0.5466666666666666,0.8259243603890891
2,healthcare providers,1000,0.695,0.695,0.695,0.717762527142293
3,AI startups in Berlin,10,0.6,0.006,0.011881188118811881,0.684383072597662
3,AI startups in Berlin,50,0.2,0.01,0.019047619047619046,0.3066049179733167
3,AI startups in Berlin,100,0.25,0.025,0.045454545454545456,0.3040078947421159
3,AI startups in Berlin,500,0.214,0.107,0.14266666666666666,0.23278466577014695
3,AI startups in Berlin,1000,0.238,0.238,0.238,0.24533001454869538
4,renewable energy companies in Germany,10,0.2,0.002,0.0039603960396039604,0.20483424751859086
4,renewable energy companies in Germany,50,0.52,0.026,0.04952380952380952,0.4648451717573879
4,renewable energy companies in Germany,100,0.64,0.064,0.11636363636363638,0.5771581174804163
4,renewable energy companies in Germany,500,0.606,0.303,0.40399999999999997,0.5949805900702191
4,renewable energy companies in Germany,1000,0.519,0.519,0.519,0.5262188317905269
5,companies providing cloud migration services,10,0.4,0.004,0.007920792079207921,0.2726701556894781
5,companies providing cloud migration services,50,0.86,0.043,0.0819047619047619,0.7293075614196243
5,companies providing cloud migration services,100,0.85,0.085,0.15454545454545457,0.7719591471070721
5,companies providing cloud migration services,500,0.586,0.293,0.39066666666666666,0.6051857810296256
5,companies providing cloud migration services,1000,0.429,0.429,0.429,0.46300003603811435
6,B2B SaaS platforms,10,1.0,0.01,0.019801980198019802,1.0
6,B2B SaaS platforms,50,0.98,0.049,0.09333333333333334,0.9846298672989356
6,B2B SaaS platforms,100,0.95,0.095,0.17272727272727273,0.9601079328046742
6,B2B SaaS platforms,500,0.82,0.41,0.5466666666666666,0.8423641175678307
6,B2B SaaS platforms,1000,0.633,0.633,0.633,0.6741658169847667
7,machine learning companies,10,1.0,0.01,0.019801980198019802,1.0
7,machine learning companies,50,1.0,0.05,0.09523809523809523,1.0
7,machine learning companies,100,1.0,0.1,0.18181818181818182,1.0
7,machine learning companies,500,0.84,0.42,0.5599999999999999,0.8649445455816663
7,machine learning companies,1000,0.618,0.618,0.618,0.6659787024864323
8,IoT solution providers,10,1.0,0.01,0.019801980198019802,1.0
8,IoT solution providers,50,1.0,0.05,0.09523809523809523,1.0
8,IoT solution providers,100,0.99,0.099,0.18,0.9924879067876868
8,IoT solution providers,500,0.96,0.48,0.64,0.9654017503558153
8,IoT solution providers,1000,0.824,0.824,0.824,0.8492072685174195
9,enterprise software vendors,10,0.9,0.009,0.01782178217821782,0.9216017310213247
9,enterprise software vendors,50,0.68,0.034,0.06476190476190476,0.7430218811440429
9,enterprise software vendors,100,0.58,0.058,0.10545454545454544,0.6418093967190082
9,enterprise software vendors,500,0.542,0.271,0.36133333333333334,0.5660656312860356
9,enterprise software vendors,1000,0.467,0.467,0.467,0.4918085715913292
10,small consulting firms,10,1.0,0.01,0.019801980198019802,1.0
10,small consulting firms,50,1.0,0.05,0.09523809523809523,1.0
10,small consulting firms,100,0.98,0.098,0.17818181818181816,0.9852497034532695
10,small consulting firms,500,0.808,0.404,0.5386666666666666,0.8350492825819046
10,small consulting firms,1000,0.64,0.64,0.64,0.6807437968574352
11,tech companies in Munich,10,0.7,0.007,0.013861386138613862,0.7967610662472993
11,tech companies in Munich,50,0.4,0.02,0.03809523809523809,0.5081956537113768
11,tech companies in Munich,100,0.34,0.034,0.06181818181818182,0.41877941999626944
11,tech companies in Munich,500,0.254,0.127,0.16933333333333334,0.2904608485296736
11,tech companies in Munich,1000,0.225,0.225,0.225,0.250621151991725
12,manufacturing in Baden-Württemberg,10,1.0,0.01,0.019801980198019802,1.0
12,manufacturing in Baden-Württemberg,50,0.9,0.045,0.08571428571428572,0.9223815373782083
12,manufacturing in Baden-Württemberg,100,0.84,0.084,0.15272727272727274,0.869283071520332
12,manufacturing in Baden-Württemberg,500,0.59,0.295,0.3933333333333333,0.6336049964677407
12,manufacturing in Baden-Württemberg,1000,0.434,0.434,0.434,0.4822415562609955
13,e-commerce platforms,10,1.0,0.01,0.019801980198019802,1.0
13,e-commerce platforms,50,1.0,0.05,0.09523809523809523,1.0
13,e-commerce platforms,100,1.0,0.1,0.18181818181818182,1.0
13,e-commerce platforms,500,0.998,0.499,0.6653333333333333,0.998411428925479
13,e-commerce platforms,1000,0.792,0.792,0.792,0.8249055449546037
14,pharmaceutical companies,10,1.0,0.01,0.019801980198019802,1.0
14,pharmaceutical companies,50,0.74,0.037,0.07047619047619047,0.7923760601871902
14,pharmaceutical companies,100,0.77,0.077,0.14,0.7949899607593218
14,pharmaceutical companies,500,0.638,0.319,0.42533333333333334,0.6609926190052535
14,pharmaceutical companies,1000,0.578,0.578,0.578,0.600324134679649
15,logistics companies in the US,10,0.5,0.005,0.009900990099009901,0.5743371894486219
15,logistics companies in the US,50,0.54,0.027,0.05142857142857143,0.5680734698772963
15,logistics companies in the US,100,0.48,0.048,0.08727272727272727,0.5107104037498605
15,logistics companies in the US,500,0.376,0.188,0.25066666666666665,0.3992012904149866
15,logistics companies in the US,1000,0.348,0.348,0.348,0.3657676973625695
16,data analytics companies,10,1.0,0.01,0.019801980198019802,1.0
16,data analytics companies,50,0.96,0.048,0.09142857142857141,0.9686104466427737
16,data analytics companies,100,0.98,0.098,0.17818181818181816,0.9806647675364252
16,data analytics companies,500,0.842,0.421,0.5613333333333334,0.8637701017594562
16,data analytics companies,1000,0.692,0.692,0.692,0.7273373988974919
17,cybersecurity firms,10,0.8,0.008,0.015841584158415842,0.7759944384848244
17,cybersecurity firms,50,0.7,0.035,0.06666666666666667,0.7073247883067946
17,cybersecurity firms,100,0.73,0.073,0.13272727272727272,0.7279882220109148
17,cybersecurity firms,500,0.704,0.352,0.46933333333333327,0.7087831837967986
17,cybersecurity firms,1000,0.66,0.66,0.66,0.6697198517350044
18,financial services companies,10,0.9,0.009,0.01782178217821782,0.9305687780632227
18,financial services companies,50,0.82,0.041,0.07809523809523809,0.8501212741241316
18,financial services companies,100,0.83,0.083,0.15090909090909094,0.8456297384750822
18,financial services companies,500,0.582,0.291,0.38799999999999996,0.6179869302813918
18,financial services companies,1000,0.482,0.482,0.482,0.518059849139092
19,retail chains in Europe,10,1.0,0.01,0.019801980198019802,1.0
19,retail chains in Europe,50,0.86,0.043,0.0819047619047619,0.8793745047754282
19,retail chains in Europe,100,0.9,0.09,0.16363636363636364,0.9022884860614315
19,retail chains in Europe,500,0.754,0.377,0.5026666666666667,0.7763502948779187
19,retail chains in Europe,1000,0.597,0.597,0.597,0.6342606644381468
20,construction companies,10,1.0,0.01,0.019801980198019802,1.0
20,construction companies,50,1.0,0.05,0.09523809523809523,1.0
20,construction companies,100,0.97,0.097,0.1763636363636364,0.9778901354263373
20,construction companies,500,0.886,0.443,0.5906666666666667,0.9025028796552168
20,construction companies,1000,0.645,0.645,0.645,0.6916730682079539
21,marketing agencies,10,0.9,0.009,0.01782178217821782,0.9305687780632227
21,marketing agencies,50,0.9,0.045,0.08571428571428572,0.908503377113777
21,marketing agencies,100,0.84,0.084,0.15272727272727274,0.8592364867974438
21,marketing agencies,500,0.674,0.337,0.44933333333333336,0.7016718350797507
21,marketing agencies,1000,0.563,0.563,0.563,0.5960026404746134
22,human resources software,10,0.5,0.005,0.009900990099009901,0.36284762021041433
22,human resources software,50,0.82,0.041,0.07809523809523809,0.7123556408278559
22,human resources software,100,0.87,0.087,0.15818181818181817,0.7930834668916921
22,human resources software,500,0.844,0.422,0.5626666666666666,0.8283830190157507
22,human resources software,1000,0.687,0.687,0.687,0.7017941507610853
23,supply chain management companies,10,0.5,0.005,0.009900990099009901,0.4760705018418426
23,supply chain management companies,50,0.46,0.023,0.04380952380952381,0.4679385992273731
23,supply chain management companies,100,0.53,0.053,0.09636363636363636,0.5203802715114936
23,supply chain management companies,500,0.336,0.168,0.22400000000000003,0.35827862458690224
23,supply chain management companies,1000,0.32,0.32,0.32,0.33552413912722057
24,solar panel manufacturers,10,1.0,0.01,0.019801980198019802,1.0
24,solar panel manufacturers,50,0.98,0.049,0.09333333333333334,0.9857983371847121
24,solar panel manufacturers,100,0.88,0.088,0.16,0.9087919063575287
24,solar panel manufacturers,500,0.734,0.367,0.48933333333333334,0.7628557466208813
24,solar panel manufacturers,1000,0.6,0.6,0.6,0.6369193965260445
25,agricultural technology companies,10,0.7,0.007,0.013861386138613862,0.7315449642824575
25,agricultural technology companies,50,0.44,0.022,0.0419047619047619,0.5003320394126638
25,agricultural technology companies,100,0.47,0.047,0.08545454545454545,0.5002179695307651
25,agricultural technology companies,500,0.392,0.196,0.26133333333333336,0.41411602482327176
25,agricultural technology companies,1000,0.382,0.382,0.382,0.39594597481885496
26,electric vehicle manufacturers,10,0.9,0.009,0.01782178217821782,0.9363792118010483
26,electric vehicle manufacturers,50,0.98,0.049,0.09333333333333334,0.9775879347944594
26,electric vehicle manufacturers,100,0.94,0.094,0.1709090909090909,0.9481846477842449
26,electric vehicle manufacturers,500,0.806,0.403,0.5373333333333333,0.8293523875589099
26,electric vehicle manufacturers,1000,0.607,0.607,0.607,0.6507548079923162
27,biotech companies,10,1.0,0.01,0.019801980198019802,1.0
27,biotech companies,50,0.98,0.049,0.09333333333333334,0.9861175420603098
27,biotech companies,100,0.94,0.094,0.1709090909090909,0.9549289544565849
27,biotech companies,500,0.83,0.415,0.5533333333333333,0.8529599613238733
27,biotech companies,1000,0.655,0.655,0.655,0.695426928420887
28,digital transformation consultants,10,1.0,0.01,0.019801980198019802,1.0
28,digital transformation consultants,50,1.0,0.05,0.09523809523809523,1.0
28,digital transformation consultants,100,1.0,0.1,0.18181818181818182,1.0
28,digital transformation consultants,500,0.912,0.456,0.608,0.9259625282401533
28,digital transformation consultants,1000,0.757,0.757,0.757,0.7898646410494765
29,cloud computing providers,10,0.7,0.007,0.013861386138613862,0.7967610662472993
29,cloud computing providers,50,0.26,0.013,0.02476190476190476,0.37580466067484836
29,cloud computing providers,100,0.19,0.019,0.034545454545454546,0.2768298582312686
29,cloud computing providers,500,0.622,0.311,0.41466666666666663,0.5895671725729107
29,cloud computing providers,1000,0.667,0.667,0.667,0.6415870070194037
30,mobile app development companies,10,1.0,0.01,0.019801980198019802,1.0
30,mobile app development companies,50,1.0,0.05,0.09523809523809523,1.0
30,mobile app development companies,100,0.99,0.099,0.18,0.9927473355762331
30,mobile app development companies,500,0.952,0.476,0.6346666666666666,0.9589731389297296
30,mobile app development companies,1000,0.836,0.836,0.836,0.8588021313775474
31,web design agencies,10,0.9,0.009,0.01782178217821782,0.914856882358379
31,web design agencies,50,0.94,0.047,0.08952380952380952,0.9415637095703598
31,web design agencies,100,0.91,0.091,0.16545454545454544,0.918128839113734
31,web design agencies,500,0.742,0.371,0.49466666666666664,0.7686332588098885
31,web design agencies,1000,0.606,0.606,0.606,0.6416526327468648
32,SEO companies,10,1.0,0.01,0.019801980198019802,1.0
32,SEO companies,50,0.98,0.049,0.09333333333333334,0.9861175420603098
32,SEO companies,100,0.96,0.096,0.17454545454545453,0.9684427847230086
32,SEO companies,500,0.816,0.408,0.5439999999999999,0.8396999239773112
32,SEO companies,1000,0.657,0.657,0.657,0.6945944171725937
33,social media marketing agencies,10,1.0,0.01,0.019801980198019802,1.0
33,social media marketing agencies,50,1.0,0.05,0.09523809523809523,1.0
33,social media marketing agencies,100,0.95,0.095,0.17272727272727273,0.9622654008037916
33,social media marketing agencies,500,0.792,0.396,0.5279999999999999,0.8219523300007985
33,social media marketing agencies,1000,0.59,0.59,0.59,0.637678394183875
34,venture capital firms,10,0.9,0.009,0.01782178217821782,0.8611375561264454
